Old_Name,New_Name
EntityID,entity_id
PerformedActID,num_performed_act_id
PerformedActCode,cat_performed_act_code
PerformedActText,cat_performed_act
BelongsToBattery,cat_battery
BelongsToBatteryID,num_battery_id
ActivityTime_StartDateTime,dt_obs
Template,cat_template
ObservationResultSummarized,chr_result_summary
BooleanResult,lgl_result_bool
CodedValueResult,cat_result_code
CodedValueResultText,chr_result_code_text
EnumObservationResult,cat_result_enum
DateTimeStartResult,dt_start
DateTimeEndResult,dt_end
QuantitativeResult,num_result_quant
QuantitativeResultUnit,cat_result_quant_unit
TextBatteryResult,chr_result_text_battery
TextResult,chr_result_text
URLResult,chr_result_url
Source,cat_source
AbnormalFlags,cat_abnormal_flags
ResultStatus,cat_result_status
